Slide Number,Title,Word Count,Character Count
88,"Fonds généralistes",2,18
89,"Fonds agroalimentaires",2,22
90,"Fonds growth",2,12
91,"Fonds VC",2,8
92,"Fonds VC",2,8
93,"Fonds BtoB",2,10
94,"Fonds BTP",2,9
95,"Fonds Santé",2,11
96,"Fonds autres secteurs",3,21
112,"Fonds Multirégional",2,19
113,"Family offices",2,14
114,"Fonds d’investissement",2,22
115,"Charte graphique",2,16
